City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Saint Marys,US,30.7305,-81.5465,92.23,70,1,5.01,clear sky
309,Nagato,JP,34.3833,131.2,76.91,87,100,8.52,overcast clouds
310,Maltahohe,NA,-24.8333,16.9833,47.93,13,0,10.18,clear sky
311,Iqaluit,CA,63.7506,-68.5145,55.13,62,40,4.0,scattered clouds
312,Ribeira Grande,PT,38.5167,-28.7,73.8,83,40,4.61,scattered clouds
313,Dunedin,NZ,-45.8742,170.5036,48.79,94,100,3.0,light rain
314,Alice Springs,AU,-23.7,133.8833,49.55,53,1,6.91,clear sky
315,Sertania,BR,-8.0736,-37.2644,80.08,49,77,12.24,broken clouds
316,Bozeman,US,45.6796,-111.0386,89.02,23,1,1.01,clear sky
317,Malanje,AO,-9.5402,16.341,70.02,26,5,3.91,clear sky
318,Kajaani,FI,64.2273,27.7285,66.25,100,58,5.75,broken clouds
319,Chimbote,PE,-9.0853,-78.5783,67.98,72,13,11.41,few clouds
320,Margate,GB,51.3813,1.3862,66.33,84,27,4.0,scattered clouds
321,Kishi,NG,9.0833,3.85,74.86,87,100,5.14,overcast clouds
322,Souillac,MU,-20.5167,57.5167,71.98,73,75,12.66,light rain
323,Revelstoke,CA,50.9832,-118.2023,71.62,64,90,5.75,haze
324,Lagos,NG,6.5833,3.75,77.32,87,99,7.02,overcast clouds
325,Suntar,RU,62.1444,117.6319,54.32,71,100,5.17,overcast clouds
326,Homer,US,59.6425,-151.5483,68.07,74,1,4.61,clear sky
327,High Level,CA,58.5169,-117.136,59.11,77,90,3.44,overcast clouds
328,Puerto El Triunfo,SV,13.2833,-88.55,89.76,51,60,8.32,broken clouds
329,Podgorica,ME,42.4411,19.2636,80.38,50,0,5.75,clear sky
330,Raga,SS,8.4596,25.678,69.48,95,34,3.24,scattered clouds
331,Graaff-Reinet,ZA,-32.2522,24.5308,40.93,30,0,6.4,clear sky
332,Verkhnevilyuysk,RU,63.4453,120.3167,48.34,85,100,4.23,overcast clouds
333,Yuyao,CN,30.05,121.1494,83.79,88,100,6.46,overcast clouds
334,Krasnoselkup,RU,65.7,82.4667,55.87,60,100,16.67,light rain
335,Henties Bay,NA,-22.116,14.2845,60.85,53,0,7.16,clear sky
336,Paramonga,PE,-10.6667,-77.8333,67.08,74,24,11.32,few clouds
337,Yatou,CN,37.15,122.3833,74.97,95,100,10.29,moderate rain
338,Mahibadhoo,MV,3.7833,72.9667,82.56,76,100,10.71,overcast clouds
339,Chicama,PE,-7.8447,-79.1469,64.94,60,2,9.75,clear sky
340,Matara,LK,5.9485,80.5353,78.55,90,100,11.36,overcast clouds
341,Havre-Saint-Pierre,CA,50.2334,-63.5986,71.96,78,1,9.22,clear sky
342,Leningradskiy,RU,69.3833,178.4167,46.02,89,100,3.15,light rain
343,Hofn,IS,64.2539,-15.2082,49.87,90,100,0.69,overcast clouds
344,Guangyuan,CN,32.442,105.823,72.45,96,100,4.41,light rain
345,Pionerskiy,RU,54.9508,20.2275,73.24,87,24,5.39,few clouds
